Title,Author,ASIN,Publisher,Publication date,Language,File size,Text-to-Speech,Enhanced typesetting,X-Ray,Word Wise,Print length,Lending,Best Sellers Rank,Customer Reviews
Tumbling Into Midnight (Love's Salvation),Susan Jean Ricci,B08ZY4W4RL,,"April 8, 2021",English,908 KB,Enabled,Enabled,Not Enabled,Enabled,45 pages,Not Enabled,"#15 in Theater Acting & Auditioning(https://www.amazon.com/gp/bestsellers/digital-text/154705011/ref=pd_zg_hrsr_digital-text), #84 in Acting & Auditioning(https://www.amazon.com/gp/bestsellers/books/2155/ref=pd_zg_hrsr_books), #362 in 90-Minute Literature & Fiction Short Reads(https://www.amazon.com/gp/bestsellers/digital-text/8624215011/ref=pd_zg_hrsr_digital-text)","None, None"
"Here, There, Elsewhere: Stories from the Road",William Least Heat-Moon,B007ZG33EM,"Little, Brown and Company (January 8, 2013)","January 8, 2013",English,10558 KB,Enabled,Enabled,Not Enabled,Enabled,362 pages,Not Enabled,"#15 in Literary Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046379011/ref=pd_zg_hrsr_digital-text), #20 in Mountain U.S. Regional Travel(https://www.amazon.com/gp/bestsellers/digital-text/159998011/ref=pd_zg_hrsr_digital-text), #45 in Literary & Religious Travel Guides(https://www.amazon.com/gp/bestsellers/books/3568222011/ref=pd_zg_hrsr_books)","4.4 out of 5 stars, 72 ratings"
What are the Countries in the European Union? Geography Books for Kids | Children's Geography & Culture Books,Baby Professor,B0739VVR2J,"Baby Professor (May 15, 2017)","May 15, 2017",English,3945 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,64 pages,Not Enabled,"#43 in Teen & Young Adult Geography(https://www.amazon.com/gp/bestsellers/books/10367746011/ref=pd_zg_hrsr_books), #79 in Teen & Young Adult Earth Sciences eBooks(https://www.amazon.com/gp/bestsellers/digital-text/7006581011/ref=pd_zg_hrsr_digital-text), #100 in Teen & Young Adult Travel eBooks(https://www.amazon.com/gp/bestsellers/digital-text/15249212011/ref=pd_zg_hrsr_digital-text)","3.0 out of 5 stars, 1 rating"
Penguins: 101 Fun Facts & Amazing Pictures (Featuring The World's Top 8 Penguins),Janet Evans,B00G7S49YW,"Speedy Kids (October 23, 2013)","October 23, 2013",English,2514 KB,Enabled,Enabled,Not Enabled,Enabled,29 pages,Not Enabled,"#25 in 45-Minute Science & Math Short Reads(https://www.amazon.com/gp/bestsellers/digital-text/8624171011/ref=pd_zg_hrsr_digital-text), #28 in Polar Regions Travel(https://www.amazon.com/gp/bestsellers/digital-text/14046450011/ref=pd_zg_hrsr_digital-text), #29 in Ornithology (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/158665011/ref=pd_zg_hrsr_digital-text)","4.0 out of 5 stars, 121 ratings"
How to Save your Marriage Alone: The Quick Remedy to Stop Your Divorce,,B00T3JRQLK,,"February 1, 2015",English,3082 KB,Enabled,Enabled,Not Enabled,Enabled,44 pages,Enabled,"#14 in 90-Minute Self-Help Short Reads(https://www.amazon.com/gp/bestsellers/digital-text/8624223011/ref=pd_zg_hrsr_digital-text), #77 in Stress Management (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156574011/ref=pd_zg_hrsr_digital-text), #391 in Stress Management Self-Help(https://www.amazon.com/gp/bestsellers/books/4747/ref=pd_zg_hrsr_books)","3.7 out of 5 stars, 19 ratings"
A Darker Magic (Starship's Mage Book 10),Glynn Stewart,B08X4WWQCN,"Faolan's Pen Publishing (March 9, 2021)","March 9, 2021",English,1605 KB,Enabled,Enabled,Enabled,Enabled,327 pages,Enabled,"#10 in Space Exploration Science Fiction eBooks(https://www.amazon.com/gp/bestsellers/digital-text/6809443011/ref=pd_zg_hrsr_digital-text), #10 in Space Fleet Science Fiction eBooks(https://www.amazon.com/gp/bestsellers/digital-text/6809441011/ref=pd_zg_hrsr_digital-text), #10 in Exploration Science Fiction(https://www.amazon.com/gp/bestsellers/books/10387340011/ref=pd_zg_hrsr_books)","4.5 out of 5 stars, 603 ratings"
Sound Reporting: The NPR Guide to Audio Journalism and Production,Jonathan Kern,B00D9A7I58,"University of Chicago Press (July 9, 2012)","July 9, 2012",English,933 KB,Enabled,Enabled,Not Enabled,Not Enabled,400 pages,Enabled,"#11 in General Broadcasting (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156414011/ref=pd_zg_hrsr_digital-text), #36 in Radio & Wireless Engineering(https://www.amazon.com/gp/bestsellers/digital-text/157748011/ref=pd_zg_hrsr_digital-text), #66 in General Broadcasting (Books)(https://www.amazon.com/gp/bestsellers/books/4566/ref=pd_zg_hrsr_books)","4.7 out of 5 stars, 128 ratings"
Where Shattered Hearts Mend: A Historical Western Romance Novel,Etta Foster,B0917VJHP6,,"March 26, 2021",English,3521 KB,Enabled,Enabled,Not Enabled,Enabled,608 pages,Enabled,"#25 in American Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/17744542011/ref=pd_zg_hrsr_digital-text), #38 in Frontier & Pioneer Western Fiction(https://www.amazon.com/gp/bestsellers/digital-text/157076011/ref=pd_zg_hrsr_digital-text), #46 in Victorian Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/6361468011/ref=pd_zg_hrsr_digital-text)","4.9 out of 5 stars, 17 ratings"
Go Back To Your Country: Or Stay and Defy All Odds,,B08XZT7BQ8,"Legacy International Press (March 3, 2021)","March 3, 2021",English,2400 KB,Enabled,Enabled,Not Enabled,Enabled,239 pages,Not Enabled,"#1 in Historical Middle Eastern Biographies(https://www.amazon.com/gp/bestsellers/digital-text/10332421011/ref=pd_zg_hrsr_digital-text), #5 in Emigration & Immigration(https://www.amazon.com/gp/bestsellers/digital-text/157498011/ref=pd_zg_hrsr_digital-text), #8 in Discrimination & Racism (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157497011/ref=pd_zg_hrsr_digital-text)","5.0 out of 5 stars, 6 ratings"
"Unleash the Power of Storytelling: Win Hearts, Change Minds, Get Results",Rob Biesenbach,B079XW94M5,"Eastlawn Media (February 19, 2018)","February 19, 2018",English,1209 KB,Enabled,Enabled,Enabled,Enabled,180 pages,Enabled,"#1 in Newspapers & Magazines Writing Reference (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/158274011/ref=pd_zg_hrsr_digital-text), #6 in Online Advertising(https://www.amazon.com/gp/bestsellers/digital-text/8493807011/ref=pd_zg_hrsr_digital-text), #9 in Sales & Selling Presentations(https://www.amazon.com/gp/bestsellers/digital-text/8493810011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 397 ratings"
